hotel_name,city,property_type,price_per_night,nights,rating,review_snippet
Seaside Inn Barcelona,Barcelona,hotel,120,2,4.5,"Wonderful location near the beach."
Budget Stay London,London,hostel,65,1,3.8,"Good value for money."
Grand Plaza Paris,Paris,hotel,210,3,4.7,"Excellent breakfast."
Riverside Suites Amsterdam,Amsterdam,apartment,155,2,4.2,"Spacious and modern."
Harbor View Lisbon,Lisbon,hotel,98,2,4.6,"Charming neighborhood."
Downtown Loft Berlin,Berlin,apartment,88,1,3.9,"Stylish place."
Family Resort Rome,Rome,hotel,245,4,4.8,"Kids loved the pool."
Eco Lodge Copenhagen,Copenhagen,hotel,175,2,4.4,"Sustainable and cozy."
Skyline Hotel Dubai,Dubai,hotel,310,2,4.9,"Luxury experience."
Coastal B&B Nice,Nice,bed_and_breakfast,135,2,4.3,"Lovely hosts."
Urban Pod Tokyo,Tokyo,capsule_hotel,45,1,4.1,"Unique experience."
Lake House Zurich,Zurich,hotel,285,3,4.7,"Peaceful setting."
Market Square Krakow,Krakow,hotel,72,2,4.5,"Historic building."
Desert Oasis Marrakech,Marrakech,riad,160,3,4.6,"Beautiful courtyard."
Harbor Inn Sydney,Sydney,hotel,195,2,4.4,"Close to Opera House."
Airport Motel Oslo,Oslo,motel,55,1,,"Basic room near the airport."
