title,destination,attraction_type,total_price,days,review_rating,review_excerpt
Old Town Walking Tour,Prague,tour,48,1,4.6,"Knowledgeable guide."
Mountain Day Trip,Zurich,tour,189,1,4.8,"Breathtaking views."
Food & Wine Tasting,Rome,experience,95,1,4.7,"Delicious pasta."
Museum Pass Vienna,Vienna,ticket,65,2,4.3,"Skipped the lines."
Sunset Cruise Santorini,Santorini,cruise,120,1,4.9,"Magical sunset."
City Bike Tour Amsterdam,Amsterdam,tour,35,1,4.4,"Easy ride through canals."
Castle Day Trip Edinburgh,Edinburgh,tour,72,1,4.5,"Foggy but impressive."
Northern Lights Chase,Tromso,tour,210,1,4.2,"We saw the lights!"
Kayak Adventure Dubrovnik,Dubrovnik,activity,85,1,4.6,"Clear water."
Street Art Walk,Berlin,tour,28,1,4.1,"Interesting neighborhoods."
Temple Tour Kyoto,Kyoto,tour,55,1,4.7,"Peaceful temples."
Wildlife Safari Cape Town,Cape Town,safari,165,1,4.8,"Saw lions."
Snorkel Day Trip,Cairns,activity,140,1,4.5,"Reef was vibrant."
Historic Quarter Quito,Quito,tour,42,1,4.0,"Altitude was tough."
Night Market Tour Taipei,Taipei,food_tour,38,1,4.6,"Amazing street food."
