location,listings,avg_price,avg_rating
PRT,12172,92.046,4.432
GBR,3014,96.39,4.418
FRA,2594,109.368,4.425
ESP,2161,115.915,4.431
DEU,1891,104.68,4.425
ITA,917,114.342,4.419
IRL,842,97.553,4.414
BEL,585,113.153,4.447
BRA,577,111.282,4.423
NLD,529,104.061,4.442
USA,526,125.851,4.404
CHE,437,126.76,4.434
CN,321,106.401,4.421
AUT,319,108.354,4.422
CHN,266,111.977,4.397
SWE,255,115.168,4.447
POL,237,105.914,4.454
ISR,169,113.693,4.414
RUS,159,117.845,4.486
NOR,159,127.157,4.464
ROU,129,120.499,4.419
FIN,125,104.943,4.408
DNK,104,120.538,4.409
AUS,94,124.704,4.415
AGO,90,121.306,4.392
LUX,83,135.428,4.484
MAR,72,137.77,4.483
TUR,65,110.28,4.386
HUN,59,111.37,4.417
ARG,51,113.935,4.475
CZE,46,102.889,4.459
JPN,44,119.58,4.491
IND,38,112.44,4.421
KOR,32,108.75,4.366
GRC,31,104.296,4.41
SRB,28,97.934,4.511
DZA,25,116.092,4.288
HRV,23,122.303,4.361
BGR,22,117.782,4.368
MEX,22,120.945,4.368
SVN,21,129.884,4.419
LTU,21,92.501,4.362
ZAF,20,97.314,4.57
EST,20,121.569,4.53
CHL,18,122.674,4.35
MOZ,18,95.329,4.389
CYP,17,106.732,4.447
SVK,17,110.088,4.459
COL,15,123.363,4.373
NZL,15,108.442,4.34
LVA,14,102.304,4.393
URY,14,123.962,4.343
THA,14,146.324,4.429
IRN,14,146.882,4.2
UKR,13,103.275,4.523
TWN,12,120.272,4.3
ARE,12,135.424,4.358
SAU,11,153.502,4.482
CPV,11,102.193,4.491
VEN,10,115.543,4.55
ISL,10,101.3,4.29
EGY,10,115.468,4.62
HKG,9,155.811,4.322
SGP,8,96.39,4.512
TUN,8,89.025,4.488
GEO,8,155.012,4.512
KAZ,7,155.071,4.314
PHL,7,140.4,4.243
IDN,7,136.033,4.657
PER,7,100.093,4.557
BLR,6,101.353,4.5
LBN,6,142.833,4.533
GIB,6,161.278,4.433
MYS,6,94.402,4.45
ECU,6,123.383,4.55
DOM,5,113.36,4.64
MLT,5,108.8,4.26
KWT,5,135.702,4.64
CRI,5,86.184,4.04
NGA,5,143.1,4.38
MDV,4,118.25,4.7
BOL,4,97.5,4.625
AZE,4,140.358,4.15
AND,4,221.892,4.525
PAK,4,140.728,4.575
SEN,3,206.533,4.1
PRI,3,80.333,4.367
Zurich,3,246.667,4.833
London,3,90.0,3.733
ALB,3,98.333,3.733
ZWE,2,94.565,4.3
TJK,2,141.0,4.55
ARM,2,100.1,4.05
TMP,2,143.4,4.4
Barcelona,2,709.5,4.5
GHA,2,156.5,4.3
JOR,2,70.5,4.45
CAF,2,106.0,4.75
BGD,2,141.945,4.55
CIV,2,128.5,4.3
GTM,2,63.5,4.75
MKD,2,75.0,4.3
MAC,2,88.45,4.15
LBY,2,83.0,4.75
LIE,2,94.9,4.35
QAT,2,203.65,4.5
OMN,2,74.5,4.7
MUS,2,89.5,4.65
IRQ,2,112.0,4.45
PAN,2,82.4,4.8
BEN,1,122.4,4.8
ATF,1,126.0,3.9
Amsterdam,1,35.0,4.4
GLP,1,140.0,3.8
GAB,1,130.5,4.5
GNB,1,74.8,4.8
JAM,1,88.0,4.7
BHR,1,80.75,4.7
CMR,1,170.0,3.9
BIH,1,50.0,4.7
BRB,1,95.0,4.8
CUB,1,115.0,3.8
Berlin,1,88.0,3.9
Dubrovnik,1,85.0,4.6
IMN,1,105.3,3.5
KEN,1,109.23,4.6
KNA,1,70.0,4.6
JEY,1,70.0,4.6
NAM,1,121.61,4.4
LAO,1,183.33,4.9
MYT,1,256.5,4.4
MWI,1,86.0,4.9
NIC,1,139.0,4.5
Sydney,1,195.0,4.4
SYR,1,104.0,4.1
SYC,1,89.25,4.6
Quito,1,42.0,4.0
UMI,1,200.0,4.7
UGA,1,126.0,4.9
UZB,1,118.8,4.6
VNM,1,80.1,4.4
